Location,Clubname,League,Latitude,Longitude,Address,Facility_Type,Size
Albert College,Drumcondra F.C (Snr),Amateur Football League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Albert College,Glasnevin Afc,Amateur Football League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Beechill,Ballsbridge Fc,Amateur Football League,53.3175917,-6.2330531,"Beechill Ave (Beaver Row), Beech Hill Estate, Smotscourt, Pembroke East D Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 Pv32, Ireland",Soccer,nan
Belcamp,Newtown Celtic,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Vianney Boys,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Priorswood F.C Seniors,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Whites F.C,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Urban Celtic,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Clonshaugh Sporting Suazee,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Darndale,J.K. Celtic,Amateur Football League,53.4009603,-6.19403177988914,"Darndale, Priorswood C Ed, Dublin 17, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Donaghmede,Baldoyle O/35'S,Amateur Football League,53.3948612,-6.1635775,"Donaghmede, Grange C Ed, Dublin 13, Dublin, County Dublin, Leinster, Dublin 13, Ireland",Soccer,nan
John Paul,Faussaugh Utd. F.C,Amateur Football League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Kilmore,Shelbourne F.C,Amateur Football League,54.40024675,-6.55048274536792,"Kilmore, Armagh, County Armagh, Northern Ireland, Uk",Soccer,nan
Kilmore,Vianney Boys,Amateur Football League,54.40024675,-6.55048274536792,"Kilmore, Armagh, County Armagh, Northern Ireland, Uk",Soccer,nan
Markievicz,Our Lady Of Victories F.C.,Amateur Football League,53.3410089,-6.34005570272641,"Markievicz Park, Ballyfermot Lower, Decies Ed, Dublin 10, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Mount Olive,Kilmount Boys,Amateur Football League,0.0,0.0,0,Soccer,nan
Oscar Traynor,Kilmore Celtic,Amateur Football League,53.3977132,-6.2225083,"Oscar Traynor Road, Kilmore Big, Kilmore B Ed, Dublin 17, Dublin, County Dublin, Leinster, D17 A076, Ireland",Soccer,nan
Ringsend,St. Marks Athletic,Amateur Football League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ringsend,Irishtown F.C.,Amateur Football League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
St. Annes,Vianney Boys,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Chanel Sports & Social Club,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Marino Athletic,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Kansas City Shufflers,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Smithfield F.C.,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Celtic Park Fc,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,St. Gabriels F.C.,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Bacchus F.C.,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Shelbourne Sports & Social Club,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Walkinstown,Tracta F.C.,Amateur Football League,53.3216133,-6.3301177,"Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Fr. Collins,Wyteleaf United F.C.,Amateur Football League/Athletic Union League,0.0,0.0,0,Soccer,nan
Millbrook,Wyteleaf United F.C.,Amateur Football League/Athletic Union League,53.31905805,-6.23539135743444,"Millbrook, 29, Eglinton Road, Donnybrook East, Rathmines East B Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 Pv32, Ireland",Soccer,nan
Albert College,Greenfield Park Boys F.C,Athletic Union League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Alfie Byrne,Eastwall Bessborough Utd.,Athletic Union League,53.361111,-6.2279928,"Alfie Byrne Road, Clontarf West, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Coultry,Shangan Athletic,Athletic Union League,53.4223167,-6.26304854422187,"Coultry, Airport Ed, Saint Margaret’S, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Darndale,Darndale Rovers,Athletic Union League,53.4009603,-6.19403177988914,"Darndale, Priorswood C Ed, Dublin 17, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Donaghmede,Cardonagh A.F.C,Athletic Union League,53.3948612,-6.1635775,"Donaghmede, Grange C Ed, Dublin 13, Dublin, County Dublin, Leinster, Dublin 13, Ireland",Soccer,nan
